0000A712
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-25T16:10:17.380Z,33.4903333,-116.4675,15.64,0.7,ml,29,102,0.04804,0.17,ci,ci37671552,2016-08-25T16:29:01.494Z,"20km ESE of Anza, CA",earthquake,0.31,0.47,0.086,14,reviewed,ci,ci
2016-08-25T16:09:22.990Z,33.4888333,-116.4663333,14.61,0.71,ml,18,142,0.04839,0.14,ci,ci37381925,2016-08-25T16:38:06.545Z,"21km ESE of Anza, CA",earthquake,0.33,0.51,0.1,15,reviewed,ci,ci
2016-08-25T16:09:21.370Z,33.485,-116.4708333,13.85,0.53,ml,21,142,0.05375,0.13,ci,ci37671560,2016-08-25T16:34:39.160Z,"20km ESE of Anza, CA",earthquake,0.28,0.46,0.2,12,reviewed,ci,ci
2016-08-25T16:02:18.160Z,19.3848324,-155.245163,2.57,2.56,ml,42,45,0.005842,0.26,hv,hv61388846,2016-08-25T16:07:59.430Z,"5km S of Volcano, Hawaii",earthquake,0.28,0.23,0.37,22,automatic,hv,hv
2016-08-25T15:57:51.500Z,37.5816667,-119.0116667,-0.16,1.43,md,30,85,0.03109,0.05,nc,nc72684986,2016-08-25T17:09:31.790Z,"8km SSW of Mammoth Lakes, California",earthquake,0.24,0.6,0.31,24,reviewed,nc,nc
2016-08-25T15:55:24.000Z,67.169,-143.378,5,0.9,ml,,,,0.43,ak,ak13878712,2016-08-25T16:07:47.523Z,"107km NE of Fort Yukon, Alaska",earthquake,1.2,0.5,,,automatic,ak,ak
2016-08-25T15:41:32.900Z,19.2124,-64.693,44,1.8,Md,4,327.6,0.87945066,0.14,pr,pr16238020,2016-08-25T18:58:32.610Z,"88km N of Road Town, British Virgin Islands",earthquake,4,10.6,0,3,reviewed,pr,pr
2016-08-25T15:36:55.150Z,19.3778324,-155.2353363,1.05,1.73,ml,22,116,0.006539,0.14,hv,hv61388826,2016-08-25T15:42:34.300Z,"5km S of Volcano, Hawaii",earthquake,0.2,0.19,0.41,5,automatic,hv,hv
2016-08-25T15:35:25.500Z,19.2266,-64.6556,48,2.2,Md,3,327.6,0.89651865,0.21,pr,pr16238021,2016-08-25T19:07:03.665Z,"89km N of Road Town, British Virgin Islands",earthquake,6.2,15.1,0,3,reviewed,pr,pr
2016-08-25T15:30:41.536Z,40.658,-119.455,8,0.9,ml,4,187.94,0.05,0.0607,nn,nn00557565,2016-08-25T18:01:22.665Z,"10km NW of Gerlach-Empire, Nevada",earthquake,,4,0.22,2,reviewed,nn,nn
2016-08-25T15:23:36.253Z,39.6539,-119.4922,0,0.4,ml,3,232.62,0.1,0.1637,nn,nn00557563,2016-08-25T17:55:09.137Z,"18km E of Spanish Springs, Nevada",earthquake,,0,0.22,2,reviewed,nn,nn
2016-08-25T15:21:55.410Z,34.3431667,-116.89,-1.35,1.31,ml,47,45,0.05197,0.22,ci,ci37671512,2016-08-25T16:05:29.331Z,"10km NNW of Big Bear City, CA",quarry blast,0.31,31.61,0.163,20,reviewed,ci,ci
2016-08-25T15:17:29.199Z,41.8933,-119.6287,7.9,1.4,ml,5,120.78,0.137,0.1986,nn,nn00557539,2016-08-25T16:23:52.180Z,"67km ESE of Lakeview, Oregon",earthquake,,7.6,0.34,3,reviewed,nn,nn
2016-08-25T15:15:41.450Z,35.9495,-117.6565,3,2.22,ml,28,52,0.005216,0.13,ci,ci37671480,2016-08-25T15:59:10.270Z,"23km E of Little Lake, CA",earthquake,0.15,0.28,0.175,54,reviewed,ci,ci
